infinitive,gerund,present participle,past participle,compound verb,indicative|present|first person singular,indicative|present|second person singular,indicative|present|third person singular,indicative|present|first person plural,indicative|present|second person plural,indicative|present|third person plural,indicative|imperfect|first person singular,indicative|imperfect|second person singular,indicative|imperfect|third person singular,indicative|imperfect|first person plural,indicative|imperfect|second person plural,indicative|imperfect|third person plural,indicative|past historic|first person singular,indicative|past historic|second person singular,indicative|past historic|third person singular,indicative|past historic|first person plural,indicative|past historic|second person plural,indicative|past historic|third person plural,indicative|future|first person singular,indicative|future|second person singular,indicative|future|third person singular,indicative|future|first person plural,indicative|future|second person plural,indicative|future|third person plural,indicative|conditional|first person singular,indicative|conditional|second person singular,indicative|conditional|third person singular,indicative|conditional|first person plural,indicative|conditional|second person plural,indicative|conditional|third person plural,subjunctive|present|first person singular,subjunctive|present|second person singular,subjunctive|present|third person singular,subjunctive|present|first person plural,subjunctive|present|second person plural,subjunctive|present|third person plural,subjunctive|imperfect|first person singular,subjunctive|imperfect|second person singular,subjunctive|imperfect|third person singular,subjunctive|imperfect|first person plural,subjunctive|imperfect|second person plural,subjunctive|imperfect|third person plural,imperative|first person singular,imperative|second person singular,imperative|third person singular,imperative|first person plural,imperative|second person plural,imperative|third person plural
adhérer,adhérant,adhérant,adhéré,avoir,adhère,adhères,adhère,adhérons,adhérez,adhèrent,adhérais,adhérais,adhérait,adhérions,adhériez,adhéraient,adhérai,adhéras,adhéra,adhérâmes,adhérâtes,adhérèrent,adhèrerai;adhérerai,adhèreras;adhéreras,adhèrera;adhérera,adhèrerons;adhérerons,adhèrerez;adhérerez,adhèreront;adhéreront,adhèrerais;adhérerais,adhèrerais;adhérerais,adhèrerait;adhérerait,adhèrerions;adhérerions,adhèreriez;adhéreriez,adhèreraient;adhéreraient,adhère,adhères,adhère,adhérions,adhériez,adhèrent,adhérasse,adhérasses,adhérât,adhérassions,adhérassiez,adhérassent,,adhère,,adhérons,adhérez,
abîmer,abîmant,abîmant,abîmé,avoir,abîme,abîmes,abîme,abîmons,abîmez,abîment,abîmais,abîmais,abîmait,abîmions,abîmiez,abîmaient,abîmai,abîmas,abîma,abîmâmes,abîmâtes,abîmèrent,abîmerai,abîmeras,abîmera,abîmerons,abîmerez,abîmeront,abîmerais,abîmerais,abîmerait,abîmerions,abîmeriez,abîmeraient,abîme,abîmes,abîme,abîmions,abîmiez,abîment,abîmasse,abîmasses,abîmât,abîmassions,abîmassiez,abîmassent,,abîme,,abîmons,abîmez,
adultérer,adultérant,adultérant,adultéré,avoir,adultère,adultères,adultère,adultérons,adultérez,adultèrent,adultérais,adultérais,adultérait,adultérions,adultériez,adultéraient,adultérai,adultéras,adultéra,adultérâmes,adultérâtes,adultérèrent,adultèrerai;adultérerai,adultèreras;adultéreras,adultèrera;adultérera,adultèrerons;adultérerons,adultèrerez;adultérerez,adultèreront;adultéreront,adultèrerais;adultérerais,adultèrerais;adultérerais,adultèrerait;adultérerait,adultèrerions;adultérerions,adultèreriez;adultéreriez,adultèreraient;adultéreraient,adultère,adultères,adultère,adultérions,adultériez,adultèrent,adultérasse,adultérasses,adultérât,adultérassions,adultérassiez,adultérassent,,adultère,,adultérons,adultérez,
accoler,accolant,accolant,accolé,avoir,accole,accoles,accole,accolons,accolez,accolent,accolais,accolais,accolait,accolions,accoliez,accolaient,accolai,accolas,accola,accolâmes,accolâtes,accolèrent,accolerai,accoleras,accolera,accolerons,accolerez,accoleront,accolerais,accolerais,accolerait,accolerions,accoleriez,accoleraient,accole,accoles,accole,accolions,accoliez,accolent,accolasse,accolasses,accolât,accolassions,accolassiez,accolassent,,accole,,accolons,accolez,
affaisser,affaissant,affaissant,affaissé,avoir,affaisse,affaisses,affaisse,affaissons,affaissez,affaissent,affaissais,affaissais,affaissait,affaissions,affaissiez,affaissaient,affaissai,affaissas,affaissa,affaissâmes,affaissâtes,affaissèrent,affaisserai,affaisseras,affaissera,affaisserons,affaisserez,affaisseront,affaisserais,affaisserais,affaisserait,affaisserions,affaisseriez,affaisseraient,affaisse,affaisses,affaisse,affaissions,affaissiez,affaissent,affaissasse,affaissasses,affaissât,affaissassions,affaissassiez,affaissassent,,affaisse,,affaissons,affaissez,
accoucher,accouchant,accouchant,accouché,avoir,accouche,accouches,accouche,accouchons,accouchez,accouchent,accouchais,accouchais,accouchait,accouchions,accouchiez,accouchaient,accouchai,accouchas,accoucha,accouchâmes,accouchâtes,accouchèrent,accoucherai,accoucheras,accouchera,accoucherons,accoucherez,accoucheront,accoucherais,accoucherais,accoucherait,accoucherions,accoucheriez,accoucheraient,accouche,accouches,accouche,accouchions,accouchiez,accouchent,accouchasse,accouchasses,accouchât,accouchassions,accouchassiez,accouchassent,,accouche,,accouchons,accouchez,
agneler,agnelant,agnelant,agnelé,avoir,agnelle,agnelles,agnelle,agnelons,agnelez,agnellent,agnelais,agnelais,agnelait,agnelions,agneliez,agnelaient,agnelai,agnelas,agnela,agnelâmes,agnelâtes,agnelèrent,agnellerai,agnelleras,agnellera,agnellerons,agnellerez,agnelleront,agnellerais,agnellerais,agnellerait,agnellerions,agnelleriez,agnelleraient,agnelle,agnelles,agnelle,agnelions,agneliez,agnellent,agnelasse,agnelasses,agnelât,agnelassions,agnelassiez,agnelassent,,agnelle,,agnelons,agnelez,
accréditer,accréditant,accréditant,accrédité,avoir,accrédite,accrédites,accrédite,accréditons,accréditez,accréditent,accréditais,accréditais,accréditait,accréditions,accréditiez,accréditaient,accréditai,accréditas,accrédita,accréditâmes,accréditâtes,accréditèrent,accréditerai,accréditeras,accréditera,accréditerons,accréditerez,accréditeront,accréditerais,accréditerais,accréditerait,accréditerions,accréditeriez,accréditeraient,accrédite,accrédites,accrédite,accréditions,accréditiez,accréditent,accréditasse,accréditasses,accréditât,accréditassions,accréditassiez,accréditassent,,accrédite,,accréditons,accréditez,
activer,activant,activant,activé,avoir,active,actives,active,activons,activez,activent,activais,activais,activait,activions,activiez,activaient,activai,activas,activa,activâmes,activâtes,activèrent,activerai,activeras,activera,activerons,activerez,activeront,activerais,activerais,activerait,activerions,activeriez,activeraient,active,actives,active,activions,activiez,activent,activasse,activasses,activât,activassions,activassiez,activassent,,active,,activons,activez,
ahurir,ahurissant,ahurissant,ahuri,avoir,ahuris,ahuris,ahurit,ahurissons,ahurissez,ahurissent,ahurissais,ahurissais,ahurissait,ahurissions,ahurissiez,ahurissaient,ahuris,ahuris,ahurit,ahurîmes,ahurîtes,ahurirent,ahurirai,ahuriras,ahurira,ahurirons,ahurirez,ahuriront,ahurirais,ahurirais,ahurirait,ahuririons,ahuririez,ahuriraient,ahurisse,ahurisses,ahurisse,ahurissions,ahurissiez,ahurissent,ahurisse,ahurisses,ahurît,ahurissions,ahurissiez,ahurissent,,ahuris,,ahurissons,ahurissez,
accentuer,accentuant,accentuant,accentué,avoir,accentue,accentues,accentue,accentuons,accentuez,accentuent,accentuais,accentuais,accentuait,accentuions,accentuiez,accentuaient,accentuai,accentuas,accentua,accentuâmes,accentuâtes,accentuèrent,accentuerai,accentueras,accentuera,accentuerons,accentuerez,accentueront,accentuerais,accentuerais,accentuerait,accentuerions,accentueriez,accentueraient,accentue,accentues,accentue,accentuions,accentuiez,accentuent,accentuasse,accentuasses,accentuât,accentuassions,accentuassiez,accentuassent,,accentue,,accentuons,accentuez,
affermir,affermissant,affermissant,affermi,avoir,affermis,affermis,affermit,affermissons,affermissez,affermissent,affermissais,affermissais,affermissait,affermissions,affermissiez,affermissaient,affermis,affermis,affermit,affermîmes,affermîtes,affermirent,affermirai,affermiras,affermira,affermirons,affermirez,affermiront,affermirais,affermirais,affermirait,affermirions,affermiriez,affermiraient,affermisse,affermisses,affermisse,affermissions,affermissiez,affermissent,affermisse,affermisses,affermît,affermissions,affermissiez,affermissent,,affermis,,affermissons,affermissez,
airer,airant,airant,airé,avoir,aire,aires,aire,airons,airez,airent,airais,airais,airait,airions,airiez,airaient,airai,airas,aira,airâmes,airâtes,airèrent,airerai,aireras,airera,airerons,airerez,aireront,airerais,airerais,airerait,airerions,aireriez,aireraient,aire,aires,aire,airions,airiez,airent,airasse,airasses,airât,airassions,airassiez,airassent,,aire,,airons,airez,
accueillir,accueillant,accueillant,accueilli,avoir,accueille,accueilles,accueille,accueillons,accueillez,accueillent,accueillais,accueillais,accueillait,accueillions,accueilliez,accueillaient,accueillis,accueillis,accueillit,accueillîmes,accueillîtes,accueillirent,accueillerai,accueilleras,accueillera,accueillerons,accueillerez,accueilleront,accueillerais,accueillerais,accueillerait,accueillerions,accueilleriez,accueilleraient,accueille,accueilles,accueille,accueillions,accueilliez,accueillent,accueillisse,accueillisses,accueillît,accueillissions,accueillissiez,accueillissent,,accueille,,accueillons,accueillez,
accessoiriser,accessoirisant,accessoirisant,accessoirisé,avoir,accessoirise,accessoirises,accessoirise,accessoirisons,accessoirisez,accessoirisent,accessoirisais,accessoirisais,accessoirisait,accessoirisions,accessoirisiez,accessoirisaient,accessoirisai,accessoirisas,accessoirisa,accessoirisâmes,accessoirisâtes,accessoirisèrent,accessoiriserai,accessoiriseras,accessoirisera,accessoiriserons,accessoiriserez,accessoiriseront,accessoiriserais,accessoiriserais,accessoiriserait,accessoiriserions,accessoiriseriez,accessoiriseraient,accessoirise,accessoirises,accessoirise,accessoirisions,accessoirisiez,accessoirisent,accessoirisasse,accessoirisasses,accessoirisât,accessoirisassions,accessoirisassiez,accessoirisassent,,accessoirise,,accessoirisons,accessoirisez,
accuser,accusant,accusant,accusé,avoir,accuse,accuses,accuse,accusons,accusez,accusent,accusais,accusais,accusait,accusions,accusiez,accusaient,accusai,accusas,accusa,accusâmes,accusâtes,accusèrent,accuserai,accuseras,accusera,accuserons,accuserez,accuseront,accuserais,accuserais,accuserait,accuserions,accuseriez,accuseraient,accuse,accuses,accuse,accusions,accusiez,accusent,accusasse,accusasses,accusât,accusassions,accusassiez,accusassent,,accuse,,accusons,accusez,
acheminer,acheminant,acheminant,acheminé,avoir,achemine,achemines,achemine,acheminons,acheminez,acheminent,acheminais,acheminais,acheminait,acheminions,acheminiez,acheminaient,acheminai,acheminas,achemina,acheminâmes,acheminâtes,acheminèrent,acheminerai,achemineras,acheminera,acheminerons,acheminerez,achemineront,acheminerais,acheminerais,acheminerait,acheminerions,achemineriez,achemineraient,achemine,achemines,achemine,acheminions,acheminiez,acheminent,acheminasse,acheminasses,acheminât,acheminassions,acheminassiez,acheminassent,,achemine,,acheminons,acheminez,
abasourdir,abasourdissant,abasourdissant,abasourdi,avoir,abasourdis,abasourdis,abasourdit,abasourdissons,abasourdissez,abasourdissent,abasourdissais,abasourdissais,abasourdissait,abasourdissions,abasourdissiez,abasourdissaient,abasourdis,abasourdis,abasourdit,abasourdîmes,abasourdîtes,abasourdirent,abasourdirai,abasourdiras,abasourdira,abasourdirons,abasourdirez,abasourdiront,abasourdirais,abasourdirais,abasourdirait,abasourdirions,abasourdiriez,abasourdiraient,abasourdisse,abasourdisses,abasourdisse,abasourdissions,abasourdissiez,abasourdissent,abasourdisse,abasourdisses,abasourdît,abasourdissions,abasourdissiez,abasourdissent,,abasourdis,,abasourdissons,abasourdissez,
aiguiller,aiguillant,aiguillant,aiguillé,avoir,aiguille,aiguilles,aiguille,aiguillons,aiguillez,aiguillent,aiguillais,aiguillais,aiguillait,aiguillions,aiguilliez,aiguillaient,aiguillai,aiguillas,aiguilla,aiguillâmes,aiguillâtes,aiguillèrent,aiguillerai,aiguilleras,aiguillera,aiguillerons,aiguillerez,aiguilleront,aiguillerais,aiguillerais,aiguillerait,aiguillerions,aiguilleriez,aiguilleraient,aiguille,aiguilles,aiguille,aiguillions,aiguilliez,aiguillent,aiguillasse,aiguillasses,aiguillât,aiguillassions,aiguillassiez,aiguillassent,,aiguille,,aiguillons,aiguillez,
abricoter,abricotant,abricotant,abricoté,avoir,abricote,abricotes,abricote,abricotons,abricotez,abricotent,abricotais,abricotais,abricotait,abricotions,abricotiez,abricotaient,abricotai,abricotas,abricota,abricotâmes,abricotâtes,abricotèrent,abricoterai,abricoteras,abricotera,abricoterons,abricoterez,abricoteront,abricoterais,abricoterais,abricoterait,abricoterions,abricoteriez,abricoteraient,abricote,abricotes,abricote,abricotions,abricotiez,abricotent,abricotasse,abricotasses,abricotât,abricotassions,abricotassiez,abricotassent,,abricote,,abricotons,abricotez,
accommoder,accommodant,accommodant,accommodé,avoir;être,accommode,accommodes,accommode,accommodons,accommodez,accommodent,accommodais,accommodais,accommodait,accommodions,accommodiez,accommodaient,accommodai,accommodas,accommoda,accommodâmes,accommodâtes,accommodèrent,accommoderai,accommoderas,accommodera,accommoderons,accommoderez,accommoderont,accommoderais,accommoderais,accommoderait,accommoderions,accommoderiez,accommoderaient,accommode,accommodes,accommode,accommodions,accommodiez,accommodent,accommodasse,accommodasses,accommodât,accommodassions,accommodassiez,accommodassent,,accommode,,accommodons,accommodez,
agripper,agrippant,agrippant,agrippé,avoir,agrippe,agrippes,agrippe,agrippons,agrippez,agrippent,agrippais,agrippais,agrippait,agrippions,agrippiez,agrippaient,agrippai,agrippas,agrippa,agrippâmes,agrippâtes,agrippèrent,agripperai,agripperas,agrippera,agripperons,agripperez,agripperont,agripperais,agripperais,agripperait,agripperions,agripperiez,agripperaient,agrippe,agrippes,agrippe,agrippions,agrippiez,agrippent,agrippasse,agrippasses,agrippât,agrippassions,agrippassiez,agrippassent,,agrippe,,agrippons,agrippez,
alcaliniser,alcalinisant,alcalinisant,alcalinisé,avoir,alcalinise,alcalinises,alcalinise,alcalinisons,alcalinisez,alcalinisent,alcalinisais,alcalinisais,alcalinisait,alcalinisions,alcalinisiez,alcalinisaient,alcalinisai,alcalinisas,alcalinisa,alcalinisâmes,alcalinisâtes,alcalinisèrent,alcaliniserai,alcaliniseras,alcalinisera,alcaliniserons,alcaliniserez,alcaliniseront,alcaliniserais,alcaliniserais,alcaliniserait,alcaliniserions,alcaliniseriez,alcaliniseraient,alcalinise,alcalinises,alcalinise,alcalinisions,alcalinisiez,alcalinisent,alcalinisasse,alcalinisasses,alcalinisât,alcalinisassions,alcalinisassiez,alcalinisassent,,alcalinise,,alcalinisons,alcalinisez,
agir,agissant,agissant,agi,avoir,agis,agis,agit,agissons,agissez,agissent,agissais,agissais,agissait,agissions,agissiez,agissaient,agis,agis,agit,agîmes,agîtes,agirent,agirai,agiras,agira,agirons,agirez,agiront,agirais,agirais,agirait,agirions,agiriez,agiraient,agisse,agisses,agisse,agissions,agissiez,agissent,agisse,agisses,agît,agissions,agissiez,agissent,,agis,,agissons,agissez,
agacer,agaçant,agaçant,agacé,avoir,agace,agaces,agace,agaçons,agacez,agacent,agaçais,agaçais,agaçait,agacions,agaciez,agaçaient,agaçai,agaças,agaça,agaçâmes,agaçâtes,agacèrent,agacerai,agaceras,agacera,agacerons,agacerez,agaceront,agacerais,agacerais,agacerait,agacerions,agaceriez,agaceraient,agace,agaces,agace,agacions,agaciez,agacent,agaçasse,agaçasses,agaçât,agaçassions,agaçassiez,agaçassent,,agace,,agaçons,agacez,
agrandir,agrandissant,agrandissant,agrandi,avoir,agrandis,agrandis,agrandit,agrandissons,agrandissez,agrandissent,agrandissais,agrandissais,agrandissait,agrandissions,agrandissiez,agrandissaient,agrandis,agrandis,agrandit,agrandîmes,agrandîtes,agrandirent,agrandirai,agrandiras,agrandira,agrandirons,agrandirez,agrandiront,agrandirais,agrandirais,agrandirait,agrandirions,agrandiriez,agrandiraient,agrandisse,agrandisses,agrandisse,agrandissions,agrandissiez,agrandissent,agrandisse,agrandisses,agrandît,agrandissions,agrandissiez,agrandissent,,agrandis,,agrandissons,agrandissez,
adjuger,adjugeant,adjugeant,adjugé,avoir,adjuge,adjuges,adjuge,adjugeons,adjugez,adjugent,adjugeais,adjugeais,adjugeait,adjugions,adjugiez,adjugeaient,adjugeai,adjugeas,adjugea,adjugeâmes,adjugeâtes,adjugèrent,adjugerai,adjugeras,adjugera,adjugerons,adjugerez,adjugeront,adjugerais,adjugerais,adjugerait,adjugerions,adjugeriez,adjugeraient,adjuge,adjuges,adjuge,adjugions,adjugiez,adjugent,adjugeasse,adjugeasses,adjugeât,adjugeassions,adjugeassiez,adjugeassent,,adjuge,,adjugeons,adjugez,
abimer,abimant,abimant,abimé,avoir,abime,abimes,abime,abimons,abimez,abiment,abimais,abimais,abimait,abimions,abimiez,abimaient,abimai,abimas,abima,abimâmes,abimâtes,abimèrent,abimerai,abimeras,abimera,abimerons,abimerez,abimeront,abimerais,abimerais,abimerait,abimerions,abimeriez,abimeraient,abime,abimes,abime,abimions,abimiez,abiment,abimasse,abimasses,abimât,abimassions,abimassiez,abimassent,,abime,,abimons,abimez,
accomplir,accomplissant,accomplissant,accompli,avoir,accomplis,accomplis,accomplit,accomplissons,accomplissez,accomplissent,accomplissais,accomplissais,accomplissait,accomplissions,accomplissiez,accomplissaient,accomplis,accomplis,accomplit,accomplîmes,accomplîtes,accomplirent,accomplirai,accompliras,accomplira,accomplirons,accomplirez,accompliront,accomplirais,accomplirais,accomplirait,accomplirions,accompliriez,accompliraient,accomplisse,accomplisses,accomplisse,accomplissions,accomplissiez,accomplissent,accomplisse,accomplisses,accomplît,accomplissions,accomplissiez,accomplissent,,accomplis,,accomplissons,accomplissez,
ablater,ablatant,ablatant,ablaté,avoir,ablate,ablates,ablate,ablatons,ablatez,ablatent,ablatais,ablatais,ablatait,ablations,ablatiez,ablataient,ablatai,ablatas,ablata,ablatâmes,ablatâtes,ablatèrent,ablaterai,ablateras,ablatera,ablaterons,ablaterez,ablateront,ablaterais,ablaterais,ablaterait,ablaterions,ablateriez,ablateraient,ablate,ablates,ablate,ablations,ablatiez,ablatent,ablatasse,ablatasses,ablatât,ablatassions,ablatassiez,ablatassent,,ablate,,ablatons,ablatez,
aberrer,aberrant,aberrant,aberré,avoir,aberre,aberres,aberre,aberrons,aberrez,aberrent,aberrais,aberrais,aberrait,aberrions,aberriez,aberraient,aberrai,aberras,aberra,aberrâmes,aberrâtes,aberrèrent,aberrerai,aberreras,aberrera,aberrerons,aberrerez,aberreront,aberrerais,aberrerais,aberrerait,aberrerions,aberreriez,aberreraient,aberre,aberres,aberre,aberrions,aberriez,aberrent,aberrasse,aberrasses,aberrât,aberrassions,aberrassiez,aberrassent,,aberre,,aberrons,aberrez,
accoter,accotant,accotant,accoté,avoir,accote,accotes,accote,accotons,accotez,accotent,accotais,accotais,accotait,accotions,accotiez,accotaient,accotai,accotas,accota,accotâmes,accotâtes,accotèrent,accoterai,accoteras,accotera,accoterons,accoterez,accoteront,accoterais,accoterais,accoterait,accoterions,accoteriez,accoteraient,accote,accotes,accote,accotions,accotiez,accotent,accotasse,accotasses,accotât,accotassions,accotassiez,accotassent,,accote,,accotons,accotez,
